year,microbiome_search,genomics_search,proteomics_search,metabolomics_search,lipidomics_search,phenomics_search,transcriptomics_search,ml_search,bioinfo_search,pharma_search,all_search,microb_res,genom_res,proteo_res,metabol_res,lipid_res,pheno_res,transcr_res,ml_res,bioinfo_res,pharma_res,all_res
2002,microbiome OR metagenomics OR metagenome AND 2002[PDAT],genomics AND 2002[PDAT],proteomics AND 2002[PDAT],metabolomics AND 2002[PDAT],lipidomics AND 2002[PDAT],phenomics AND 2002[PDAT],transcriptomics AND 2002[PDAT],(machine learning) AND 2002[PDAT],(bioinformatic*) AND 2002[PDAT],(pharmacogenomics*) AND 2002[PDAT],2002[PDAT],125,3129,1056,22,0,4,18,98,1227,302,565458
2003,microbiome OR metagenomics OR metagenome AND 2003[PDAT],genomics AND 2003[PDAT],proteomics AND 2003[PDAT],metabolomics AND 2003[PDAT],lipidomics AND 2003[PDAT],phenomics AND 2003[PDAT],transcriptomics AND 2003[PDAT],(machine learning) AND 2003[PDAT],(bioinformatic*) AND 2003[PDAT],(pharmacogenomics*) AND 2003[PDAT],2003[PDAT],141,4066,1723,37,4,5,25,124,1870,313,594585
2004,microbiome OR metagenomics OR metagenome AND 2004[PDAT],genomics AND 2004[PDAT],proteomics AND 2004[PDAT],metabolomics AND 2004[PDAT],lipidomics AND 2004[PDAT],phenomics AND 2004[PDAT],transcriptomics AND 2004[PDAT],(machine learning) AND 2004[PDAT],(bioinformatic*) AND 2004[PDAT],(pharmacogenomics*) AND 2004[PDAT],2004[PDAT],187,5415,2555,87,18,12,57,187,2771,366,639763
2005,microbiome OR metagenomics OR metagenome AND 2005[PDAT],genomics AND 2005[PDAT],proteomics AND 2005[PDAT],metabolomics AND 2005[PDAT],lipidomics AND 2005[PDAT],phenomics AND 2005[PDAT],transcriptomics AND 2005[PDAT],(machine learning) AND 2005[PDAT],(bioinformatic*) AND 2005[PDAT],(pharmacogenomics*) AND 2005[PDAT],2005[PDAT],301,6821,3319,126,36,7,91,248,3463,395,700400
2006,microbiome OR metagenomics OR metagenome AND 2006[PDAT],genomics AND 2006[PDAT],proteomics AND 2006[PDAT],metabolomics AND 2006[PDAT],lipidomics AND 2006[PDAT],phenomics AND 2006[PDAT],transcriptomics AND 2006[PDAT],(machine learning) AND 2006[PDAT],(bioinformatic*) AND 2006[PDAT],(pharmacogenomics*) AND 2006[PDAT],2006[PDAT],424,7755,3877,180,33,9,112,325,3899,451,750017
2007,microbiome OR metagenomics OR metagenome AND 2007[PDAT],genomics AND 2007[PDAT],proteomics AND 2007[PDAT],metabolomics AND 2007[PDAT],lipidomics AND 2007[PDAT],phenomics AND 2007[PDAT],transcriptomics AND 2007[PDAT],(machine learning) AND 2007[PDAT],(bioinformatic*) AND 2007[PDAT],(pharmacogenomics*) AND 2007[PDAT],2007[PDAT],544,8440,4148,274,73,23,136,414,4265,481,786690
2008,microbiome OR metagenomics OR metagenome AND 2008[PDAT],genomics AND 2008[PDAT],proteomics AND 2008[PDAT],metabolomics AND 2008[PDAT],lipidomics AND 2008[PDAT],phenomics AND 2008[PDAT],transcriptomics AND 2008[PDAT],(machine learning) AND 2008[PDAT],(bioinformatic*) AND 2008[PDAT],(pharmacogenomics*) AND 2008[PDAT],2008[PDAT],754,9467,4505,439,51,20,172,508,4511,540,837165
2009,microbiome OR metagenomics OR metagenome AND 2009[PDAT],genomics AND 2009[PDAT],proteomics AND 2009[PDAT],metabolomics AND 2009[PDAT],lipidomics AND 2009[PDAT],phenomics AND 2009[PDAT],transcriptomics AND 2009[PDAT],(machine learning) AND 2009[PDAT],(bioinformatic*) AND 2009[PDAT],(pharmacogenomics*) AND 2009[PDAT],2009[PDAT],1075,10144,4918,785,87,23,236,601,4899,568,877599
2010,microbiome OR metagenomics OR metagenome AND 2010[PDAT],genomics AND 2010[PDAT],proteomics AND 2010[PDAT],metabolomics AND 2010[PDAT],lipidomics AND 2010[PDAT],phenomics AND 2010[PDAT],transcriptomics AND 2010[PDAT],(machine learning) AND 2010[PDAT],(bioinformatic*) AND 2010[PDAT],(pharmacogenomics*) AND 2010[PDAT],2010[PDAT],1684,11571,5408,961,67,31,308,717,5618,600,942042
2011,microbiome OR metagenomics OR metagenome AND 2011[PDAT],genomics AND 2011[PDAT],proteomics AND 2011[PDAT],metabolomics AND 2011[PDAT],lipidomics AND 2011[PDAT],phenomics AND 2011[PDAT],transcriptomics AND 2011[PDAT],(machine learning) AND 2011[PDAT],(bioinformatic*) AND 2011[PDAT],(pharmacogenomics*) AND 2011[PDAT],2011[PDAT],2406,12934,5982,1233,132,32,371,1148,6072,649,1020529
2012,microbiome OR metagenomics OR metagenome AND 2012[PDAT],genomics AND 2012[PDAT],proteomics AND 2012[PDAT],metabolomics AND 2012[PDAT],lipidomics AND 2012[PDAT],phenomics AND 2012[PDAT],transcriptomics AND 2012[PDAT],(machine learning) AND 2012[PDAT],(bioinformatic*) AND 2012[PDAT],(pharmacogenomics*) AND 2012[PDAT],2012[PDAT],3474,13939,6351,1633,129,27,470,1497,6736,703,1089952
2013,microbiome OR metagenomics OR metagenome AND 2013[PDAT],genomics AND 2013[PDAT],proteomics AND 2013[PDAT],metabolomics AND 2013[PDAT],lipidomics AND 2013[PDAT],phenomics AND 2013[PDAT],transcriptomics AND 2013[PDAT],(machine learning) AND 2013[PDAT],(bioinformatic*) AND 2013[PDAT],(pharmacogenomics*) AND 2013[PDAT],2013[PDAT],4581,15199,6473,1895,222,37,573,1930,7972,838,1150016
2014,microbiome OR metagenomics OR metagenome AND 2014[PDAT],genomics AND 2014[PDAT],proteomics AND 2014[PDAT],metabolomics AND 2014[PDAT],lipidomics AND 2014[PDAT],phenomics AND 2014[PDAT],transcriptomics AND 2014[PDAT],(machine learning) AND 2014[PDAT],(bioinformatic*) AND 2014[PDAT],(pharmacogenomics*) AND 2014[PDAT],2014[PDAT],6088,19960,7453,2633,279,56,777,2426,11834,988,1205688
2015,microbiome OR metagenomics OR metagenome AND 2015[PDAT],genomics AND 2015[PDAT],proteomics AND 2015[PDAT],metabolomics AND 2015[PDAT],lipidomics AND 2015[PDAT],phenomics AND 2015[PDAT],transcriptomics AND 2015[PDAT],(machine learning) AND 2015[PDAT],(bioinformatic*) AND 2015[PDAT],(pharmacogenomics*) AND 2015[PDAT],2015[PDAT],7765,22770,8026,3127,354,127,988,3292,14240,1070,1257812
2016,microbiome OR metagenomics OR metagenome AND 2016[PDAT],genomics AND 2016[PDAT],proteomics AND 2016[PDAT],metabolomics AND 2016[PDAT],lipidomics AND 2016[PDAT],phenomics AND 2016[PDAT],transcriptomics AND 2016[PDAT],(machine learning) AND 2016[PDAT],(bioinformatic*) AND 2016[PDAT],(pharmacogenomics*) AND 2016[PDAT],2016[PDAT],9605,24194,8580,3834,416,124,1243,3915,15511,1171,1284884
2017,microbiome OR metagenomics OR metagenome AND 2017[PDAT],genomics AND 2017[PDAT],proteomics AND 2017[PDAT],metabolomics AND 2017[PDAT],lipidomics AND 2017[PDAT],phenomics AND 2017[PDAT],transcriptomics AND 2017[PDAT],(machine learning) AND 2017[PDAT],(bioinformatic*) AND 2017[PDAT],(pharmacogenomics*) AND 2017[PDAT],2017[PDAT],11509,25334,8666,4399,519,131,1490,5282,16760,1177,1303539
2018,microbiome OR metagenomics OR metagenome AND 2018[PDAT],genomics AND 2018[PDAT],proteomics AND 2018[PDAT],metabolomics AND 2018[PDAT],lipidomics AND 2018[PDAT],phenomics AND 2018[PDAT],transcriptomics AND 2018[PDAT],(machine learning) AND 2018[PDAT],(bioinformatic*) AND 2018[PDAT],(pharmacogenomics*) AND 2018[PDAT],2018[PDAT],14186,26927,9063,5167,661,195,1788,8325,18893,1094,1350992
2019,microbiome OR metagenomics OR metagenome AND 2019[PDAT],genomics AND 2019[PDAT],proteomics AND 2019[PDAT],metabolomics AND 2019[PDAT],lipidomics AND 2019[PDAT],phenomics AND 2019[PDAT],transcriptomics AND 2019[PDAT],(machine learning) AND 2019[PDAT],(bioinformatic*) AND 2019[PDAT],(pharmacogenomics*) AND 2019[PDAT],2019[PDAT],18058,29285,9830,6455,946,260,2202,12637,21737,1118,1415833
2020,microbiome OR metagenomics OR metagenome AND 2020[PDAT],genomics AND 2020[PDAT],proteomics AND 2020[PDAT],metabolomics AND 2020[PDAT],lipidomics AND 2020[PDAT],phenomics AND 2020[PDAT],transcriptomics AND 2020[PDAT],(machine learning) AND 2020[PDAT],(bioinformatic*) AND 2020[PDAT],(pharmacogenomics*) AND 2020[PDAT],2020[PDAT],22592,31939,10810,7618,1271,352,2977,18142,25435,1246,1634885
2021,microbiome OR metagenomics OR metagenome AND 2021[PDAT],genomics AND 2021[PDAT],proteomics AND 2021[PDAT],metabolomics AND 2021[PDAT],lipidomics AND 2021[PDAT],phenomics AND 2021[PDAT],transcriptomics AND 2021[PDAT],(machine learning) AND 2021[PDAT],(bioinformatic*) AND 2021[PDAT],(pharmacogenomics*) AND 2021[PDAT],2021[PDAT],26387,35411,12329,9005,1535,392,4021,25399,29581,1334,1775841
2022,microbiome OR metagenomics OR metagenome AND 2022[PDAT],genomics AND 2022[PDAT],proteomics AND 2022[PDAT],metabolomics AND 2022[PDAT],lipidomics AND 2022[PDAT],phenomics AND 2022[PDAT],transcriptomics AND 2022[PDAT],(machine learning) AND 2022[PDAT],(bioinformatic*) AND 2022[PDAT],(pharmacogenomics*) AND 2022[PDAT],2022[PDAT],21675,26826,9353,7432,1130,303,3682,23619,23782,942,1397178
